trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
475609834,5,1/1/2025 0:12,1/1/2025 0:17,3030,34.051941,-118.24353,4491,34.04744,-118.24794,13668,30,One Way,Monthly Pass,standard
475609846,7,1/1/2025 0:12,1/1/2025 0:19,4558,34.025688,-118.395302,4569,34.02655,-118.408463,30021,30,One Way,Monthly Pass,electric
475609903,11,1/1/2025 0:13,1/1/2025 0:24,4212,33.988129,-118.471741,4206,33.998341,-118.461014,14923,30,One Way,Monthly Pass,standard
475609904,11,1/1/2025 0:13,1/1/2025 0:24,4212,33.988129,-118.471741,4206,33.998341,-118.461014,26704,30,One Way,Monthly Pass,electric
475610048,13,1/1/2025 0:27,1/1/2025 0:40,4472,34.092602,-118.28093,4509,34.101639,-118.309174,14790,30,One Way,Monthly Pass,standard
475617749,52,1/1/2025 0:30,1/1/2025 1:22,4538,34.06543,-118.308823,3049,34.056969,-118.253593,25355,30,One Way,Monthly Pass,electric
475610332,22,1/1/2025 0:32,1/1/2025 0:54,4301,34.099049,-118.291496,4523,34.068748,-118.30928,15539,1,One Way,Walk-up,standard
475610255,7,1/1/2025 0:43,1/1/2025 0:50,4437,34.105358,-118.28727,4474,34.110031,-118.287163,15273,1,One Way,Walk-up,standard
475610267,7,1/1/2025 0:43,1/1/2025 0:50,3028,34.058319,-118.246094,3082,34.04652,-118.237411,13575,365,One Way,Annual Pass,standard
475618010,43,1/1/2025 0:49,1/1/2025 1:32,4547,33.9897,-118.448883,4215,34.014309,-118.491341,13554,1,One Way,Walk-up,standard
475618008,43,1/1/2025 0:49,1/1/2025 1:32,4547,33.9897,-118.448883,4215,34.014309,-118.491341,12014,1,One Way,Walk-up,standard
475617348,12,1/1/2025 0:52,1/1/2025 1:04,4211,33.984928,-118.469963,4553,33.99958,-118.44136,26417,365,One Way,Annual Pass,electric
475617523,20,1/1/2025 0:53,1/1/2025 1:13,4439,34.090969,-118.286247,4534,34.10186,-118.32811,21986,1,One Way,Walk-up,electric
475617456,17,1/1/2025 0:53,1/1/2025 1:10,4672,34.045021,-118.253189,4447,34.0616,-118.28199,23796,1,One Way,Walk-up,electric
475617457,14,1/1/2025 0:56,1/1/2025 1:10,4563,34.017448,-118.409569,4552,33.990971,-118.421303,26554,1,One Way,Walk-up,electric
475617771,25,1/1/2025 0:58,1/1/2025 1:23,3042,34.049301,-118.238808,3026,34.063179,-118.24588,06330,30,One Way,Monthly Pass,standard
475617346,4,1/1/2025 0:59,1/1/2025 1:03,3047,34.039982,-118.266403,3056,34.03746,-118.265381,13979,30,One Way,Monthly Pass,standard
475617793,22,1/1/2025 1:02,1/1/2025 1:24,4548,34.026829,-118.393517,4554,34.00351,-118.43438,13837,365,One Way,Annual Pass,standard
475617653,16,1/1/2025 1:03,1/1/2025 1:19,3056,34.03746,-118.265381,3040,34.05357,-118.266357,30425,30,One Way,Monthly Pass,electric
475617879,22,1/1/2025 1:05,1/1/2025 1:27,4547,33.9897,-118.448883,4210,33.984341,-118.47155,14088,1,One Way,Walk-up,standard
475617889,20,1/1/2025 1:07,1/1/2025 1:27,4547,33.9897,-118.448883,4210,33.984341,-118.47155,06631,1,One Way,Walk-up,standard
475617576,9,1/1/2025 1:07,1/1/2025 1:16,3082,34.04652,-118.237411,4491,34.04744,-118.24794,13575,30,One Way,Monthly Pass,standard
475914529,10,1/1/2025 1:21,1/1/2025 1:31,4209,33.996239,-118.477448,3000,,,13585,30,One Way,Monthly Pass,standard
475633253,140,1/1/2025 1:22,1/1/2025 3:42,3049,34.056969,-118.253593,4578,34.04298,-118.252953,25355,30,One Way,Monthly Pass,electric
475618229,20,1/1/2025 1:25,1/1/2025 1:45,4523,34.068748,-118.30928,4250,34.03017,-118.280952,29737,30,One Way,Monthly Pass,electric
475618377,28,1/1/2025 1:30,1/1/2025 1:58,4447,34.0616,-118.28199,4664,34.055161,-118.30899,13529,1,One Way,Walk-up,standard
475685360,15,1/1/2025 1:34,1/1/2025 1:49,4303,34.098011,-118.287071,3000,,,30249,365,One Way,Annual Pass,electric
475625351,24,1/1/2025 1:41,1/1/2025 2:05,4546,34.031399,-118.453629,4562,34.02697,-118.428207,30594,30,One Way,Monthly Pass,electric
475618288,7,1/1/2025 1:43,1/1/2025 1:50,4524,34.06163,-118.301193,4587,34.060791,-118.309067,14072,1,One Way,Walk-up,standard
475625419,25,1/1/2025 1:44,1/1/2025 2:09,4215,34.014309,-118.491341,4215,34.014309,-118.491341,12014,1,Round Trip,One Day Pass,standard
475625426,24,1/1/2025 1:45,1/1/2025 2:09,4215,34.014309,-118.491341,4215,34.014309,-118.491341,24833,1,Round Trip,One Day Pass,electric
475625327,13,1/1/2025 1:50,1/1/2025 2:03,4509,34.101639,-118.309174,4534,34.10186,-118.32811,14790,1,One Way,Walk-up,standard
475625337,11,1/1/2025 1:53,1/1/2025 2:04,4406,34.101891,-118.300613,4474,34.110031,-118.287163,13543,1,One Way,Walk-up,standard
475625565,11,1/1/2025 2:10,1/1/2025 2:21,4512,34.043812,-118.264969,4491,34.04744,-118.24794,13539,365,One Way,Annual Pass,standard
475625564,11,1/1/2025 2:10,1/1/2025 2:21,4512,34.043812,-118.264969,4491,34.04744,-118.24794,15321,365,One Way,Annual Pass,standard
475626074,46,1/1/2025 2:11,1/1/2025 2:57,4215,34.014309,-118.491341,4215,34.014309,-118.491341,24833,1,Round Trip,One Day Pass,electric
