Loan_ID,Gender,Married,ApplicantIncome,LoanAmount,Loan_Status
LP001256,Male,No,3750.0,176.0,N
LP001404,Female,Yes,3167.0,154.0,Y
LP001370,Male,No,7333.0,120.0,N
LP002435,Male,Yes,3539.0,55.0,N
LP001877,Male,Yes,4708.0,,Y
LP002205,Male,No,3062.0,111.0,N
LP002143,Female,Yes,2423.0,130.0,Y
LP001854,Male,Yes,5250.0,94.0,N
LP002160,Male,Yes,5167.0,200.0,Y
LP001146,Female,Yes,2645.0,120.0,N
LP002098,Male,No,2935.0,98.0,Y
LP002315,Male,Yes,8300.0,152.0,N
LP002983,Male,Yes,8072.0,253.0,Y
LP001894,Male,Yes,2620.0,,Y
LP002234,Male,No,7167.0,128.0,Y
LP001908,Female,Yes,4100.0,124.0,Y
LP001910,Male,No,4053.0,158.0,N
LP001310,Male,Yes,5695.0,175.0,Y
LP001100,Male,No,12500.0,320.0,N
LP001241,Female,No,4300.0,136.0,N
LP002959,Female,Yes,12000.0,496.0,Y
LP002960,Male,Yes,2400.0,,N
LP001872,Male,No,5166.0,128.0,Y
LP002519,Male,Yes,4691.0,100.0,Y
LP002634,Female,No,13262.0,40.0,Y
LP001955,Female,No,5000.0,151.0,N
LP001792,Male,Yes,3315.0,96.0,Y
LP001068,Male,Yes,2799.0,122.0,Y
LP001900,Male,Yes,,,Y
LP002004,Male,No,2927.0,111.0,Y
LP002789,Male,Yes,,132.0,N
LP001106,Male,Yes,2275.0,,Y
LP001658,Male,No,3858.0,76.0,Y
LP002841,Male,Yes,3166.0,104.0,N
LP001594,Male,Yes,5708.0,187.0,Y
LP002158,Male,Yes,3000.0,100.0,N
LP002335,Female,Yes,2149.0,178.0,N
LP001432,Male,Yes,2957.0,81.0,Y
LP002716,Male,No,6783.0,130.0,Y
LP001691,Male,Yes,3917.0,124.0,Y
LP001532,Male,Yes,2281.0,113.0,N
LP002911,Male,Yes,2787.0,146.0,N
LP001405,Male,Yes,2214.0,85.0,Y
LP001713,Male,Yes,7787.0,240.0,Y
LP001431,Female,No,2137.0,137.0,Y
LP001492,Male,No,14999.0,242.0,N
LP002187,Male,No,2500.0,96.0,N
LP002229,Male,No,5941.0,296.0,Y
LP001028,Male,Yes,3073.0,200.0,Y
LP001754,Male,Yes,4735.0,138.0,N
LP001157,Female,No,3086.0,120.0,Y
LP001384,Male,Yes,2071.0,94.0,Y
LP001197,Male,Yes,3366.0,135.0,N
LP001871,Female,No,7200.0,120.0,Y
LP002863,Male,Yes,,150.0,N
LP002984,Male,Yes,7583.0,187.0,Y
LP002931,Male,Yes,6000.0,205.0,N
LP001977,Male,Yes,1625.0,96.0,Y
LP001267,Female,Yes,1378.0,167.0,N
LP002586,Female,Yes,3326.0,105.0,Y
LP001316,Male,Yes,2958.0,131.0,Y
LP002940,Male,No,3833.0,110.0,Y
LP002143,Female,Yes,,130.0,Y
LP002128,Male,Yes,2583.0,125.0,Y
LP002190,Male,Yes,6325.0,175.0,Y
LP002143,Female,Yes,2423.0,130.0,Y
LP001835,Male,Yes,1668.0,201.0,N
LP001469,Male,No,20166.0,650.0,Y
LP001915,Male,Yes,2301.0,78.0,Y
LP002705,Male,Yes,3775.0,110.0,Y
LP001266,Male,Yes,2395.0,,Y
LP002175,Male,Yes,4750.0,130.0,Y
LP001469,Male,No,20166.0,650.0,Y
LP002137,Male,Yes,6333.0,259.0,Y
LP002692,Male,Yes,5677.0,100.0,Y
LP001630,Male,No,2333.0,102.0,N
LP002225,Male,Yes,5391.0,130.0,Y
LP001002,Male,No,5849.0,,Y
LP001711,Male,Yes,3430.0,128.0,N
LP002143,Female,Yes,2423.0,130.0,Y
LP002053,Male,Yes,4342.0,124.0,Y
LP002467,Male,Yes,3708.0,173.0,N
LP001333,Male,Yes,1977.0,50.0,Y
LP002537,Male,Yes,,128.0,Y
LP001006,Male,Yes,2583.0,120.0,Y
LP002938,Male,Yes,16120.0,260.0,Y
LP002263,Male,Yes,2583.0,120.0,Y
LP002723,Male,No,3588.0,110.0,N
LP002842,Male,Yes,3417.0,186.0,Y
LP002953,Male,Yes,5703.0,128.0,Y
LP001565,Male,Yes,3089.0,121.0,N
LP001715,Male,Yes,5703.0,130.0,Y
LP002126,Male,Yes,3173.0,74.0,Y
LP001824,Male,Yes,2882.0,123.0,Y
LP001267,Female,Yes,1378.0,167.0,N
LP002868,Male,Yes,3159.0,108.0,Y
LP001491,Male,Yes,3316.0,88.0,Y
LP002626,Male,Yes,2479.0,188.0,Y
LP002697,Male,No,4680.0,,N
LP002158,Male,Yes,3000.0,,N
LP001005,Male,Yes,3000.0,66.0,Y
LP001915,Male,Yes,,78.0,Y
LP002533,Male,Yes,2947.0,,N
LP001343,Male,Yes,1759.0,131.0,Y
LP001765,Male,Yes,2491.0,104.0,Y
LP001151,Female,No,4000.0,144.0,Y
LP001469,Male,No,20166.0,650.0,Y
LP001011,Male,Yes,5417.0,267.0,Y
LP001993,Female,No,3762.0,135.0,Y
LP002544,Male,Yes,1958.0,131.0,Y
LP002443,Male,Yes,3340.0,150.0,N
LP002065,Male,Yes,15000.0,300.0,Y
LP002602,Male,No,6283.0,,N
LP002036,Male,Yes,2058.0,88.0,Y
LP001949,Male,Yes,4416.0,110.0,Y
LP002043,Female,No,3541.0,112.0,Y
LP002931,Male,Yes,6000.0,205.0,N
LP002054,Male,Yes,3601.0,,Y
LP001998,Male,Yes,7667.0,185.0,Y
LP001536,Male,Yes,39999.0,600.0,Y
LP002515,Male,Yes,3450.0,162.0,Y
LP002772,Male,No,2526.0,145.0,Y
LP001836,Female,No,3427.0,138.0,N
LP001266,Male,Yes,2395.0,,Y
LP002318,Female,No,3867.0,62.0,N
LP001974,Female,No,5000.0,132.0,Y
LP002777,Male,Yes,2785.0,,Y
LP002301,Female,No,7441.0,194.0,N
LP001120,Male,No,1800.0,47.0,Y
LP001641,Male,Yes,2178.0,66.0,N
LP002379,Male,No,6500.0,105.0,N
LP002447,Male,Yes,1958.0,60.0,Y
LP002318,Female,No,3867.0,62.0,N
LP002894,Female,Yes,3166.0,36.0,Y
LP002379,Male,No,6500.0,105.0,N
LP002006,Female,No,2507.0,56.0,Y
LP002720,Male,Yes,4281.0,100.0,Y
LP001207,Male,Yes,2609.0,165.0,N
LP002648,Male,Yes,2130.0,70.0,N
LP002602,Male,No,6283.0,209.0,N
LP001443,Female,No,3692.0,93.0,Y
LP001489,Female,Yes,4583.0,84.0,N
LP001508,Male,Yes,11757.0,187.0,Y
LP001449,Male,No,3865.0,,Y
LP001370,Male,No,7333.0,120.0,N
LP002409,Male,Yes,7901.0,180.0,Y
LP002832,Male,Yes,8799.0,258.0,N
LP001497,Male,Yes,5042.0,185.0,N
LP001562,Male,Yes,,275.0,N
LP001052,Male,Yes,3717.0,151.0,N
LP002634,Female,No,13262.0,40.0,Y
LP001008,Male,No,6000.0,141.0,Y
LP002893,Male,No,1836.0,,N
LP001013,Male,Yes,2333.0,95.0,Y
LP001310,Male,Yes,5695.0,175.0,Y
LP001492,Male,No,14999.0,242.0,N
LP002082,Male,Yes,5818.0,184.0,Y
LP002544,Male,Yes,1958.0,131.0,Y
LP001097,Male,No,4692.0,106.0,N
LP001109,Male,Yes,1828.0,100.0,N
LP001164,Female,No,4230.0,,N
LP002002,Female,No,2917.0,84.0,Y
LP001119,Male,No,3600.0,80.0,N
LP001112,Female,Yes,3667.0,144.0,Y
LP002547,Male,Yes,18333.0,500.0,N
LP002689,Male,Yes,2192.0,45.0,Y
LP001606,Male,Yes,3497.0,116.0,Y
LP002332,Male,Yes,2253.0,110.0,Y
LP002149,Male,Yes,8333.0,165.0,Y
LP002337,Female,No,2995.0,60.0,Y
LP001572,Male,Yes,9323.0,75.0,Y
LP001259,Male,Yes,1000.0,110.0,N
LP002602,Male,No,,209.0,N
LP002301,Female,No,7441.0,194.0,N
LP001036,Female,No,3510.0,76.0,N
LP001116,Male,No,3748.0,110.0,Y
LP001199,Male,Yes,3357.0,144.0,Y
LP001465,Male,Yes,6080.0,182.0,N
LP001266,Male,Yes,2395.0,,Y
LP002949,Female,No,416.0,350.0,N
LP001904,Male,Yes,,,Y
LP002917,Female,No,2165.0,,Y
LP002054,Male,Yes,3601.0,,Y
LP002484,Male,Yes,7740.0,128.0,Y
LP002237,Male,No,3667.0,113.0,Y
LP001844,Male,No,16250.0,192.0,N
LP001761,Male,No,6400.0,200.0,Y
LP001430,Female,No,4166.0,44.0,Y
LP002250,Male,Yes,5488.0,125.0,Y
LP001972,Male,Yes,2875.0,,Y
LP002265,Male,Yes,1993.0,113.0,Y
LP002926,Male,Yes,2726.0,106.0,N
LP002820,Male,Yes,5923.0,211.0,Y
LP002086,Female,Yes,4333.0,110.0,N
